Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Scholarship holder,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Admission grade,Displaced,Previous qualification (grade),Curricular units 2nd sem (evaluations),Application order,Daytime/evening attendance	,Curricular units 2nd sem (credited),Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),GDP,Course,Target
5,11.2,6,11.428571428571429,1,1,6,6,110.0,0,118.0,11,2,1,0,0,8,1.74,9238,Graduate
8,12.8875,8,12.8875,1,0,8,8,130.0,1,130.0,8,1,1,0,0,8,-3.12,9500,Graduate
6,12.95,6,12.95,1,1,7,7,138.8,1,145.0,7,2,1,0,0,7,0.32,9500,Graduate
0,0.0,1,10.0,1,0,5,5,126.3,1,121.0,5,2,1,0,0,12,-1.7,9147,Dropout
8,12.55,7,13.094285714285714,1,1,8,7,114.5,1,114.0,8,3,1,0,0,7,1.79,9500,Graduate
0,0.0,0,0.0,1,0,6,6,116.5,1,127.0,6,4,1,0,0,7,-0.92,9670,Dropout
6,11.0,5,11.714285714285714,1,1,6,6,128.6,1,145.0,11,2,1,0,0,12,-1.7,9238,Graduate
0,0.0,0,0.0,1,0,0,0,134.6,0,150.0,0,1,1,0,0,0,-4.06,171,Dropout
6,13.333333333333334,6,13.166666666666666,1,0,6,6,146.8,0,145.0,6,1,1,0,0,6,0.32,9853,Graduate
5,13.4,4,12.75,1,0,5,5,135.7,1,128.0,5,1,1,0,0,7,1.74,9085,Graduate
2,11.0,5,10.6,0,0,5,5,120.0,0,140.0,9,1,0,0,0,6,-1.7,9991,Dropout
6,12.0,5,11.2,1,0,6,6,138.0,0,130.0,6,1,0,0,0,8,3.51,8014,Graduate
0,0.0,0,0.0,1,0,8,7,135.5,0,140.0,0,1,1,0,0,0,0.79,9500,Dropout
6,13.666666666666666,6,13.0,1,0,6,6,120.0,1,120.0,6,1,1,0,0,6,1.79,9773,Graduate
0,0.0,0,0.0,1,0,5,5,111.7,1,147.0,5,1,0,0,0,10,0.32,9991,Dropout
0,0.0,0,0.0,1,0,6,6,100.0,1,133.1,0,1,0,0,0,0,-3.12,8014,Dropout
6,15.0,6,14.166666666666666,1,0,6,6,160.0,0,160.0,9,1,1,0,0,8,-4.06,9003,Graduate
6,12.333333333333334,5,12.833333333333334,1,1,6,6,114.8,0,133.1,6,1,0,0,0,10,0.79,8014,Graduate
5,10.4,4,11.75,1,1,6,6,131.0,0,140.0,9,1,0,0,0,11,1.74,8014,Graduate
6,11.5,6,10.833333333333334,1,1,6,6,97.0,0,133.1,7,1,0,0,0,8,1.74,8014,Graduate
4,12.25,4,11.75,1,0,6,6,131.7,1,131.0,8,6,1,0,0,8,-3.12,9238,Dropout
2,10.5,3,11.5,0,1,7,7,120.0,0,133.1,9,1,1,0,0,14,-0.92,9500,Dropout
6,13.7,6,13.7,1,1,7,7,133.0,1,130.0,7,1,1,0,0,7,0.32,9500,Graduate
0,0.0,1,14.0,1,0,5,5,140.0,1,140.0,12,1,1,0,0,8,1.74,9085,Dropout
0,0.0,0,0.0,1,0,6,6,137.0,1,133.1,0,1,1,0,0,10,0.32,9238,Dropout
7,13.285714285714286,6,13.0,1,1,7,7,108.0,0,115.0,7,1,1,0,0,10,1.79,9853,Graduate
8,15.11111111111111,8,13.6,1,0,8,11,110.0,0,110.0,10,1,1,2,4,15,0.79,9670,Graduate
2,11.5,3,11.0,1,0,5,5,127.7,1,140.0,9,1,1,0,0,8,0.32,9147,Dropout
11,14.333333333333334,12,13.25,1,0,11,12,140.1,1,145.0,14,3,1,4,6,12,3.51,171,Graduate
1,10.0,1,10.75,1,0,7,7,114.8,0,133.1,10,1,1,0,0,15,0.79,9500,Dropout
3,11.0,5,11.4,0,0,6,6,110.0,0,133.1,9,1,0,0,0,8,-3.12,8014,Dropout
5,12.4,6,13.0,1,0,6,6,105.5,1,110.0,8,3,1,0,0,6,1.79,9773,Graduate
6,12.285714285714286,6,14.0,1,1,6,6,127.3,1,128.0,8,1,1,0,0,8,-0.92,9238,Graduate
0,0.0,0,0.0,1,0,6,6,130.0,0,130.0,0,1,1,0,0,0,-4.06,9085,Dropout
8,16.075,7,15.285714285714286,1,1,8,7,122.7,1,137.0,8,1,1,0,0,7,1.79,9556,Graduate
6,12.666666666666666,6,13.166666666666666,1,0,6,6,113.9,1,123.0,6,2,1,0,0,6,2.02,9254,Graduate
5,12.833333333333334,5,13.6,1,0,5,5,151.1,0,156.0,11,1,1,0,0,7,-0.92,9147,Graduate
0,0.0,0,0.0,0,1,4,4,125.8,1,133.1,8,2,1,0,0,8,0.32,9773,Dropout
4,11.5,10,11.4,1,0,9,10,128.2,0,100.0,9,1,1,4,6,12,0.32,9670,Graduate
0,0.0,0,0.0,1,0,5,5,135.1,0,140.0,0,1,1,0,0,0,-4.06,9147,Dropout
5,11.6,5,11.0,1,0,5,5,120.2,1,130.0,5,1,0,0,0,7,0.32,9991,Graduate
0,0.0,0,0.0,0,0,5,5,132.8,0,133.1,11,1,0,0,0,9,1.79,9991,Dropout
6,12.666666666666666,6,13.571428571428571,1,0,6,6,140.0,0,140.0,6,1,1,0,0,7,1.79,9003,Graduate
0,0.0,0,0.0,1,0,8,7,129.3,0,137.0,0,5,1,0,0,0,-3.12,9500,Dropout
4,12.0,4,11.25,1,0,11,10,108.2,1,120.0,11,1,1,4,4,14,0.32,9119,Dropout
1,11.0,3,13.333333333333334,1,0,5,5,125.4,1,125.0,5,4,1,0,0,6,0.32,9670,Dropout
6,11.666666666666666,6,12.0,1,1,6,6,140.2,0,130.0,7,1,1,0,0,6,-0.92,9773,Graduate
5,13.0,6,12.5,1,0,6,6,116.1,1,115.0,7,3,1,0,0,6,1.79,9773,Graduate
5,12.666666666666666,5,13.2,1,1,5,5,137.8,1,150.0,6,1,1,0,0,6,-0.92,9147,Graduate
0,0.0,0,0.0,0,0,4,5,128.4,1,134.0,4,3,1,0,0,5,0.32,9670,Dropout
2,11.5,3,11.666666666666666,0,0,5,5,106.0,1,120.0,8,1,1,0,0,7,0.32,9670,Dropout
14,13.642857142857142,15,13.466666666666669,1,0,14,15,130.2,0,141.0,14,1,1,10,10,16,-3.12,9147,Graduate
5,13.2,3,13.666666666666666,1,0,5,5,126.0,0,133.0,5,1,1,0,0,7,0.32,9130,Graduate
5,10.2,6,11.666666666666666,1,1,6,6,113.0,1,121.0,12,1,1,0,0,7,1.79,9773,Graduate
5,12.4,5,13.4,1,0,6,6,120.0,0,120.0,9,1,1,0,0,9,3.51,9003,Graduate
0,0.0,0,0.0,0,0,5,5,130.9,0,148.0,6,1,0,0,0,5,1.79,9991,Dropout
0,0.0,0,0.0,1,0,6,6,120.0,0,133.1,6,1,1,0,0,9,0.79,9003,Dropout
0,0.0,0,0.0,0,0,5,5,134.1,1,135.0,5,1,0,0,0,5,0.32,9991,Dropout
4,14.75,4,13.75,1,0,5,5,114.8,0,130.0,5,1,1,0,0,5,0.32,9670,Graduate
0,0.0,1,10.0,1,0,5,5,123.0,1,133.1,5,1,1,0,0,5,0.32,9147,Dropout
0,0.0,0,0.0,0,0,5,5,118.0,0,133.1,5,2,1,0,0,11,-3.12,9119,Dropout
4,15.5,1,16.0,1,0,4,2,100.0,0,110.0,5,1,1,0,0,4,0.79,9853,Graduate
5,11.125,5,12.285714285714286,1,0,5,5,151.1,0,170.0,8,1,0,0,0,9,-0.92,9991,Graduate
6,12.666666666666666,6,12.666666666666666,1,0,7,7,106.0,1,133.1,7,1,1,0,0,7,0.32,9500,Graduate
4,13.25,5,11.8,1,1,5,5,127.1,0,139.0,7,1,1,0,0,6,1.74,9085,Graduate
5,14.666666666666666,5,10.6,0,0,5,5,155.5,1,133.1,7,1,0,0,0,6,1.74,9991,Dropout
8,12.25,9,11.9,1,0,9,11,101.0,0,133.1,14,1,1,3,5,16,-4.06,9003,Graduate
2,10.5,4,11.25,1,0,5,6,128.2,1,120.0,8,1,1,1,4,8,0.32,9119,Dropout
6,12.5,6,12.0,1,0,6,6,122.8,0,134.0,6,1,1,0,0,6,-1.7,9773,Graduate
1,16.0,2,10.0,1,0,5,5,116.5,0,128.0,8,1,1,0,0,8,0.32,9147,Dropout
7,13.714285714285714,7,13.714285714285714,1,0,8,8,142.0,0,154.0,8,1,1,0,0,8,-1.7,9500,Graduate
6,15.8,6,14.875,1,0,6,6,150.0,0,150.0,12,1,1,0,0,14,-0.92,9003,Graduate
0,0.0,5,10.8,1,0,6,6,133.3,1,134.0,6,1,1,0,0,7,0.32,9070,Dropout
2,10.0,3,12.0,1,0,6,6,115.8,1,127.0,12,1,1,0,0,11,2.02,9238,Dropout
2,13.5,5,12.5,0,0,6,6,100.0,1,133.1,19,2,1,0,0,10,1.79,9085,Dropout
8,16.327272727272728,7,14.728571428571428,1,0,8,7,128.6,1,130.0,11,1,1,0,0,7,-0.92,9500,Graduate
5,14.8,6,12.0,1,0,6,6,137.1,1,135.0,8,1,1,0,0,8,1.79,9130,Graduate
6,11.0,6,11.428571428571429,1,0,6,6,149.0,1,143.0,7,1,1,0,0,8,2.02,9773,Dropout
6,13.5,6,14.166666666666666,1,0,6,6,147.0,1,150.0,6,2,1,2,3,6,1.79,9238,Graduate
5,14.6,5,12.5,1,0,6,6,150.0,0,150.0,10,1,1,0,1,12,-1.7,9238,Graduate
6,14.333333333333334,6,14.166666666666666,1,1,6,6,103.5,0,130.0,6,1,0,0,0,6,-1.7,8014,Graduate
5,13.4,6,12.666666666666666,1,0,6,6,109.4,1,115.0,8,1,1,0,0,8,2.02,9254,Graduate
6,13.0,6,12.5,1,0,6,6,143.6,1,146.0,6,3,1,0,0,6,0.32,9070,Dropout
0,0.0,0,0.0,1,0,6,6,124.3,0,132.0,0,3,1,0,0,0,-4.06,9070,Dropout
0,0.0,0,0.0,0,0,6,6,119.5,1,116.0,0,5,1,0,0,0,3.51,9670,Dropout
0,0.0,0,0.0,1,0,0,0,175.6,1,163.0,0,1,1,0,0,0,2.02,171,Graduate
3,11.0,5,11.2,1,1,5,5,116.1,1,122.0,5,2,1,0,0,8,1.79,9147,Graduate
6,17.428571428571427,6,16.5,1,0,6,6,126.6,1,136.0,7,2,1,0,0,6,2.02,9238,Dropout
5,12.0,3,13.666666666666666,1,0,5,5,130.8,1,142.0,5,1,1,0,0,9,-1.7,9085,Graduate
7,15.228571428571428,7,15.228571428571428,1,1,8,8,133.5,1,139.0,8,6,1,0,0,8,-1.7,9500,Graduate
9,13.22222222222222,9,12.77777777777778,1,0,9,9,136.9,1,140.0,9,1,1,4,5,10,3.51,9238,Graduate
7,14.428571428571429,7,14.428571428571429,1,1,8,8,142.3,0,165.0,8,1,1,0,0,8,-1.7,9500,Graduate
6,13.714285714285714,6,13.875,1,0,6,6,114.3,1,122.0,7,3,1,0,0,8,2.02,9670,Graduate
6,13.193333333333332,7,13.128,1,0,8,7,122.9,1,135.0,13,2,1,0,0,10,-4.06,9500,Graduate
7,12.4125,6,11.605,1,0,8,7,117.2,1,128.0,10,1,1,0,0,9,-0.92,9500,Graduate
5,12.0,5,14.6,1,1,5,5,152.0,0,139.0,8,1,1,0,0,5,-1.7,9147,Graduate
0,0.0,0,0.0,1,0,6,6,122.2,1,125.0,0,2,1,0,0,0,2.02,9773,Dropout
5,11.6,5,11.8,1,1,5,5,101.7,1,102.0,6,2,1,0,0,6,3.51,9147,Graduate
6,12.333333333333334,6,12.333333333333334,1,0,6,6,119.9,1,116.0,6,1,1,0,0,6,1.79,9254,Graduate
0,0.0,4,11.0,1,1,5,5,123.7,1,138.0,5,1,1,0,0,5,2.02,9147,Dropout
11,12.909090909090908,11,13.181818181818182,1,1,11,11,121.8,0,135.0,11,1,1,5,5,11,2.02,9070,Graduate
0,0.0,1,11.0,0,1,6,6,106.1,1,110.0,0,4,1,0,0,6,-1.7,9670,Dropout
6,12.285714285714286,6,11.833333333333334,1,1,6,6,124.3,1,132.0,7,3,1,0,0,6,-4.06,9773,Graduate
8,12.98125,8,12.98125,1,1,8,8,124.3,1,126.0,8,2,1,0,0,8,-3.12,9500,Graduate
5,11.2,6,11.333333333333334,1,0,5,7,117.4,1,117.4,6,1,1,1,4,10,2.02,9147,Graduate
6,11.68,6,11.68,1,0,8,8,112.7,0,120.0,12,2,1,0,0,12,1.74,9500,Graduate
6,13.5,6,14.5,1,0,6,6,123.7,0,116.0,7,1,1,0,0,6,2.02,9070,Graduate
7,12.857142857142858,7,13.142857142857142,1,0,7,7,105.8,1,111.0,8,2,1,0,0,7,3.51,9853,Graduate
2,10.5,2,11.5,0,0,5,5,124.2,0,128.0,7,3,1,0,0,8,0.32,9085,Dropout
5,11.8,5,14.2,1,0,5,5,122.3,0,123.0,7,1,1,0,0,6,0.32,9085,Graduate
5,12.2,5,11.666666666666666,1,1,6,6,123.7,0,131.0,7,5,1,0,0,8,3.51,9254,Graduate
8,14.875,7,13.175,1,0,8,7,129.8,1,135.0,8,2,1,0,0,8,0.79,9500,Graduate
7,13.314285714285717,7,13.314285714285717,1,1,8,8,123.8,1,136.0,8,4,1,0,0,8,-1.7,9500,Graduate
3,10.5,3,10.6,1,1,5,5,126.4,1,132.0,12,2,1,0,0,13,0.79,9147,Graduate
6,14.142857142857142,6,13.428571428571429,1,0,6,6,138.4,0,144.0,7,1,1,0,0,7,0.79,9773,Graduate
5,15.571428571428571,4,13.25,1,1,5,5,118.2,1,129.0,8,1,1,0,0,7,1.74,9085,Graduate
0,0.0,2,13.0,1,0,6,6,121.7,1,136.0,6,1,1,0,0,6,1.79,9070,Dropout
0,0.0,0,0.0,1,0,6,6,119.8,0,125.0,0,1,1,0,0,0,2.02,9238,Dropout
6,13.166666666666666,6,14.0,1,0,6,6,164.9,0,154.0,6,1,1,0,0,6,1.74,9238,Graduate
6,12.833333333333334,2,12.0,1,1,6,2,100.0,1,100.0,11,1,1,1,1,2,0.79,9085,Graduate
5,10.4,5,11.8,1,0,6,6,120.4,1,126.0,7,4,1,0,0,8,-0.92,9070,Graduate
7,12.791428571428572,7,12.791428571428572,1,1,8,8,117.8,0,124.0,8,6,1,0,0,8,1.74,9500,Graduate
5,11.2,8,11.625,1,0,7,8,110.0,0,150.0,12,1,1,3,4,8,-3.12,9670,Graduate
7,12.43142857142857,6,11.994444444444444,1,1,8,7,128.8,1,133.0,11,6,1,0,0,11,-4.06,9500,Graduate
5,12.2,5,11.6,1,0,6,6,116.6,1,126.0,12,5,1,0,0,9,0.79,9254,Graduate
0,0.0,0,0.0,1,0,5,5,120.0,0,120.0,6,1,0,0,0,5,1.79,9991,Dropout
6,13.166666666666666,6,13.166666666666666,1,0,6,6,157.5,1,175.0,7,3,1,0,0,8,1.74,9773,Dropout
7,14.1,7,14.1,1,0,8,8,136.3,1,141.0,8,6,1,0,0,8,1.74,9500,Graduate
7,12.94285714285714,6,12.396666666666668,1,1,8,7,121.5,1,133.0,9,1,1,0,0,8,2.02,9500,Graduate
8,16.0875,7,15.014285714285714,1,0,8,7,133.9,0,143.0,8,1,1,0,0,7,1.79,9500,Graduate
0,0.0,0,0.0,1,1,0,0,136.8,1,141.0,0,1,1,0,0,0,0.79,171,Graduate
8,15.1,7,14.05,1,0,8,7,133.5,1,134.0,8,2,1,0,0,8,0.79,9500,Graduate
8,15.2,7,14.85,1,0,8,7,130.0,1,138.0,8,3,1,0,0,8,0.79,9500,Dropout
5,13.0,6,13.0,1,0,6,6,140.0,1,140.0,19,1,1,0,0,10,1.79,9085,Graduate
8,15.8625,7,14.7875,1,1,8,7,132.7,1,142.0,8,2,1,0,0,8,0.79,9500,Graduate
7,14.671428571428574,7,13.7,1,1,8,7,117.8,0,118.0,9,1,1,0,0,7,1.79,9500,Graduate
7,12.242857142857144,7,12.495714285714286,1,1,8,7,126.1,1,131.0,9,2,1,0,0,7,2.02,9500,Dropout
6,14.566666666666668,6,14.566666666666668,1,0,7,7,120.0,0,130.0,7,1,1,0,0,7,0.32,9500,Graduate
4,11.25,5,11.2,0,0,5,5,100.0,1,133.1,5,1,1,0,0,5,-3.12,9670,Dropout
7,12.685714285714283,7,12.685714285714283,1,0,8,8,116.8,0,130.0,8,1,1,0,0,8,-1.7,9500,Graduate
4,13.25,7,13.571428571428571,0,0,9,9,128.3,0,130.0,14,1,1,4,5,12,3.51,9238,Dropout
0,0.0,0,0.0,1,0,6,6,117.0,0,133.1,0,1,1,0,0,0,-4.06,9070,Dropout
6,11.166666666666666,5,11.0,1,0,6,6,131.5,0,130.0,7,1,0,0,0,8,2.02,8014,Graduate
8,14.445,8,14.445,1,0,8,8,134.8,0,149.0,8,1,1,0,0,8,-3.12,9500,Graduate
8,14.625,11,14.0,0,0,10,12,130.0,1,130.0,11,1,0,4,7,12,0.79,8014,Dropout
6,13.416666666666666,6,13.416666666666666,1,1,7,7,127.5,1,145.0,7,6,1,0,0,7,0.32,9500,Graduate
5,11.4,5,12.333333333333334,1,0,5,5,123.0,0,130.0,7,1,1,0,0,8,-4.06,9147,Graduate
8,14.8125,7,13.1,1,0,8,7,100.0,1,128.0,8,1,1,0,0,8,0.79,9500,Graduate
5,12.8,4,13.2,1,0,6,6,114.2,1,111.0,10,2,1,0,0,9,1.79,9670,Graduate
8,14.75,8,14.75,1,1,8,8,123.5,1,140.0,8,1,1,0,0,8,-3.12,9500,Graduate
6,14.333333333333334,6,13.142857142857142,1,1,6,6,144.3,1,140.0,6,1,1,2,3,7,1.79,9238,Graduate
5,14.857142857142858,4,13.75,1,0,5,5,161.9,0,151.0,8,1,1,0,0,6,0.32,9085,Graduate
6,13.0,5,12.4,1,0,6,6,135.9,0,132.0,7,1,1,0,0,11,-3.12,9238,Graduate
6,12.0,6,13.333333333333334,1,0,6,6,110.1,1,116.0,6,2,1,0,0,6,2.02,9773,Graduate
8,12.0,11,11.727272727272728,0,0,8,11,122.5,0,120.0,8,1,1,8,11,11,-4.06,9853,Dropout
1,14.0,4,12.5,1,0,6,6,138.1,1,158.0,11,1,1,0,0,8,0.32,9254,Dropout
0,0.0,0,0.0,1,0,0,0,117.3,1,116.0,0,1,1,0,0,0,0.79,171,Dropout
7,13.614285714285714,6,13.533333333333331,1,1,8,7,106.8,1,112.0,9,2,1,0,0,8,1.79,9500,Graduate
6,12.666666666666666,6,13.166666666666666,1,1,6,6,120.1,0,126.0,6,1,1,0,0,6,2.02,9070,Graduate
5,11.0,5,13.2,1,1,6,6,116.5,1,120.0,8,2,1,0,0,9,1.79,9254,Graduate
7,14.857142857142858,7,13.428571428571429,1,1,7,7,139.7,1,153.0,7,1,1,0,0,7,2.02,9853,Graduate
6,12.625,6,12.714285714285714,1,1,6,6,123.7,1,124.0,8,2,1,0,1,8,0.79,9070,Graduate
0,0.0,0,0.0,1,0,6,6,116.5,0,127.0,0,2,1,0,0,0,-4.06,9130,Dropout
6,13.666666666666666,6,13.666666666666666,1,1,6,6,122.2,0,126.0,9,1,1,0,0,6,3.51,9670,Graduate
6,13.166666666666666,5,11.0,1,0,6,6,146.0,0,133.1,6,1,1,0,0,6,-0.92,9773,Graduate
5,12.0,4,12.0,1,0,5,5,123.8,0,130.0,6,1,1,0,0,7,0.32,9130,Graduate
0,0.0,0,0.0,1,0,6,6,120.0,0,127.0,0,3,1,0,0,6,3.51,9773,Dropout
6,11.666666666666666,5,11.0,1,0,6,6,126.9,1,143.0,6,3,1,0,0,14,0.32,9238,Graduate
6,11.571428571428571,5,12.0,1,0,6,6,121.3,1,130.0,8,4,1,0,0,12,-4.06,9773,Dropout
8,12.55,7,13.308571428571428,1,1,8,7,129.0,1,136.0,10,3,1,0,0,7,1.79,9500,Graduate
3,10.666666666666666,3,13.666666666666666,0,0,6,6,114.9,1,125.0,7,1,1,0,0,8,-4.06,9853,Dropout
0,0.0,0,0.0,0,0,6,6,106.5,1,110.0,9,1,1,0,0,6,1.74,9670,Dropout
4,11.25,5,12.2,1,0,6,6,133.9,1,130.0,8,1,1,0,0,10,-3.12,9254,Graduate
6,12.833333333333334,6,12.666666666666666,1,1,6,6,124.9,0,135.0,6,1,1,0,0,7,1.74,9773,Graduate
8,14.07125,8,14.07125,1,1,8,8,128.5,1,133.0,8,2,1,0,0,8,-3.12,9500,Graduate
5,13.2,4,14.25,1,0,5,5,126.2,1,122.0,9,1,1,0,0,14,-3.12,9085,Dropout
0,0.0,0,0.0,0,0,2,6,121.7,1,122.0,2,1,1,0,0,0,-3.12,9130,Dropout
5,11.6,2,13.0,1,0,6,6,120.3,1,128.0,8,1,1,0,0,12,0.32,9238,Graduate
0,0.0,0,0.0,1,0,0,0,127.8,1,139.0,0,4,1,0,0,0,1.74,171,Dropout
7,14.901428571428571,7,14.901428571428571,1,1,8,8,123.3,1,124.0,8,2,1,0,0,8,-3.12,9500,Dropout
8,12.445555555555554,7,12.65,1,1,8,7,126.3,1,135.0,9,3,1,0,0,8,-4.06,9500,Graduate
5,10.6,7,11.0,0,0,5,12,128.2,0,110.0,5,1,0,5,7,12,3.51,9991,Dropout
5,12.666666666666666,4,12.4,1,0,5,5,134.9,1,138.0,9,4,1,0,0,7,0.32,9085,Graduate
6,12.666666666666666,6,12.0,1,0,6,6,140.0,0,140.0,7,1,1,0,0,7,1.79,9003,Graduate
7,13.328571428571427,7,12.135714285714286,1,1,8,7,115.5,1,126.0,10,5,1,0,0,8,1.79,9500,Graduate
7,14.051428571428572,6,13.766666666666666,1,1,8,7,136.6,0,145.0,10,1,1,0,0,12,-4.06,9500,Graduate
8,13.11625,8,13.11625,1,0,8,8,119.3,1,124.0,8,1,1,0,0,8,-3.12,9500,Graduate
0,0.0,0,0.0,0,0,6,5,152.0,1,160.0,0,1,1,0,0,5,1.74,9070,Dropout
7,13.571428571428571,6,12.7,1,0,8,7,144.3,0,138.0,8,1,1,0,0,9,0.79,9500,Graduate
6,12.333333333333334,6,12.333333333333334,1,1,7,7,129.5,1,127.0,7,1,1,0,0,7,0.32,9500,Graduate
5,13.2,5,13.333333333333334,1,0,5,5,105.4,0,111.0,6,3,1,0,0,6,0.32,9670,Graduate
8,13.49375,7,14.355555555555554,1,0,8,7,136.0,1,100.0,8,1,1,5,4,9,-4.06,9500,Graduate
5,13.0,6,13.0,1,1,6,6,160.0,0,160.0,11,1,1,0,0,8,-4.06,9003,Graduate
6,13.5,6,12.833333333333334,1,1,6,6,139.1,0,152.0,6,1,1,0,0,6,-0.92,9773,Graduate
4,13.0,5,13.2,1,1,5,5,126.9,0,144.0,5,2,1,0,0,5,-3.12,9670,Graduate
8,16.582222222222224,7,17.005555555555556,1,0,8,7,184.0,0,133.8,9,1,1,1,0,9,-4.06,9500,Graduate
5,11.0,5,10.6,0,1,6,6,125.0,1,125.0,8,1,1,0,0,8,1.74,9238,Graduate
5,13.6,5,14.0,1,1,5,5,138.5,0,150.0,6,1,1,0,0,5,1.79,9147,Graduate
7,12.114285714285714,7,12.114285714285714,1,1,8,8,133.5,1,143.0,8,5,1,0,0,8,-1.7,9500,Graduate
8,13.05875,8,13.05875,1,1,8,8,141.5,1,145.0,8,3,1,0,0,8,-3.12,9500,Graduate
7,13.285714285714286,7,13.285714285714286,1,0,8,8,130.0,1,120.0,8,1,1,4,4,8,-1.7,9500,Graduate
8,15.1625,7,14.071428571428571,1,1,8,7,145.0,0,145.0,8,1,1,0,0,7,0.79,9500,Graduate
0,0.0,0,0.0,0,0,6,6,114.3,0,122.0,0,1,1,0,0,0,-4.06,9254,Dropout
3,11.0,4,11.25,0,0,10,9,108.3,0,110.0,12,1,1,3,4,9,1.79,171,Dropout
6,13.625,6,14.0,1,1,6,6,125.2,1,136.0,8,3,1,0,0,6,1.74,9070,Graduate
3,11.666666666666666,6,12.166666666666666,1,1,6,6,131.7,1,145.0,11,1,1,0,0,8,1.74,9254,Dropout
7,13.297142857142855,7,13.297142857142855,1,0,8,8,126.3,1,141.0,8,4,1,0,0,8,1.74,9500,Graduate
6,14.25,6,13.923076923076923,1,0,6,6,147.6,1,149.0,9,1,1,0,0,14,-4.06,9085,Graduate
7,12.833333333333334,7,13.37,1,0,8,7,125.1,1,130.0,13,6,1,0,0,11,-4.06,9500,Graduate
4,13.75,4,15.0,1,0,5,5,130.8,1,128.0,5,1,1,0,0,5,0.32,9670,Dropout
6,12.571428571428571,6,13.333333333333334,1,1,6,6,154.1,0,152.0,7,1,1,0,0,6,-1.7,9853,Graduate
5,12.2,5,13.4,1,0,6,6,103.5,1,107.0,9,2,0,0,0,7,0.32,8014,Graduate
5,11.4,4,11.5,1,0,5,5,100.0,0,141.0,5,1,0,1,1,9,3.51,9991,Graduate
7,13.485714285714284,7,13.485714285714284,1,0,8,8,133.8,0,148.0,8,1,1,0,0,8,-1.7,9500,Graduate
6,11.285714285714286,6,12.0,1,1,6,6,118.5,0,130.0,8,1,1,0,0,6,3.51,9070,Graduate
0,0.0,0,0.0,1,0,0,0,150.3,1,145.0,0,1,1,0,0,0,-4.06,171,Dropout
7,13.258571428571427,7,13.258571428571427,1,0,8,8,120.5,1,135.0,11,3,1,0,0,11,1.74,9500,Graduate
1,10.0,3,11.666666666666666,0,0,6,6,120.6,1,123.0,15,1,1,0,0,9,1.74,9254,Dropout
6,12.5,6,13.571428571428571,1,1,6,6,118.7,1,126.0,6,4,1,0,0,7,3.51,9254,Graduate
5,11.833333333333334,5,11.8,1,1,6,6,130.8,0,150.0,9,2,1,0,0,9,-4.06,9773,Graduate
5,13.285714285714286,5,14.2,1,1,5,5,112.6,1,121.0,7,1,1,0,0,7,2.02,9147,Graduate
5,11.8,5,11.0,1,0,5,5,117.2,0,133.1,6,1,0,0,0,8,0.32,9991,Graduate
7,14.652857142857142,7,14.652857142857142,1,0,8,8,131.8,1,139.0,8,3,1,0,0,8,1.74,9500,Graduate
6,11.333333333333334,6,11.333333333333334,1,1,6,6,97.0,0,160.0,6,1,0,0,0,9,-4.06,8014,Graduate
0,0.0,4,13.7,0,0,7,7,130.0,0,110.0,7,1,1,0,0,12,-0.92,9500,Dropout
8,14.75,11,13.727272727272728,1,0,8,11,148.0,0,140.0,8,1,0,4,7,11,1.79,8014,Graduate
7,11.142857142857142,7,11.75,1,0,8,7,103.4,0,130.0,12,2,1,3,4,9,-1.7,9147,Dropout
5,13.0,6,12.333333333333334,1,0,6,6,127.1,0,132.0,11,2,1,0,0,9,0.32,9773,Graduate
6,13.857142857142858,6,14.0,1,1,6,6,124.0,1,139.0,7,2,1,0,0,6,-4.06,9773,Dropout
4,11.75,4,11.5,1,0,5,5,121.4,0,135.0,6,1,1,0,0,7,-3.12,9670,Graduate
5,13.2,5,11.2,1,0,5,5,118.1,0,117.0,5,1,1,0,0,6,1.79,9147,Graduate
7,15.07,7,15.07,1,1,8,8,121.3,1,137.0,8,4,1,0,0,8,1.74,9500,Graduate
1,12.0,1,10.0,1,0,5,5,119.5,0,144.0,7,1,1,0,0,6,1.74,9119,Dropout
4,12.6,4,13.0,1,0,6,6,130.2,1,140.0,11,1,1,0,0,11,-1.7,9670,Graduate
3,11.25,4,11.0,1,0,6,6,130.0,1,130.0,7,4,1,0,0,7,-0.92,9254,Dropout
5,12.166666666666666,6,13.571428571428571,1,0,6,6,126.9,1,130.0,11,2,1,0,0,8,-3.12,9238,Graduate
5,14.2,5,14.6,1,0,6,6,168.5,1,152.0,6,2,1,0,0,7,-0.92,9070,Graduate
2,10.0,3,11.833333333333334,1,0,7,7,130.0,0,133.1,14,1,1,0,0,13,-0.92,9500,Dropout
8,12.5125,7,12.625,1,1,8,7,122.8,0,140.0,11,1,1,0,0,11,-1.7,9556,Graduate
3,12.333333333333334,4,11.5,1,0,7,7,110.0,0,133.1,14,1,1,0,0,12,-0.92,9500,Dropout
4,10.5,4,13.25,1,0,5,5,127.1,1,140.0,10,1,1,0,0,8,-1.7,9085,Graduate
